sheet,row,source_range,Country,Clicks,Impressions,CTR,Position
Countries,2,Countries!A2:E2,United Arab Emirates,40.0,8780.0,0.0046,21.46
Countries,3,Countries!A3:E3,Taiwan,1.0,5.0,0.2,15.6
Countries,4,Countries!A4:E4,China,1.0,1.0,1.0,1.0
Countries,5,Countries!A5:E5,Chad,1.0,1.0,1.0,3.0
Countries,6,Countries!A6:E6,Djibouti,1.0,1.0,1.0,10.0
Countries,7,Countries!A7:E7,India,0.0,100.0,0.0,16.56
Countries,8,Countries!A8:E8,United States,0.0,97.0,0.0,11.11
Countries,9,Countries!A9:E9,United Kingdom,0.0,35.0,0.0,15.89
Countries,10,Countries!A10:E10,Saudi Arabia,0.0,29.0,0.0,7.69
Countries,11,Countries!A11:E11,Pakistan,0.0,25.0,0.0,19.6
Countries,12,Countries!A12:E12,Germany,0.0,19.0,0.0,10.63
Countries,13,Countries!A13:E13,Bangladesh,0.0,19.0,0.0,15.84
Countries,14,Countries!A14:E14,Oman,0.0,15.0,0.0,9.07
Countries,15,Countries!A15:E15,Brazil,0.0,15.0,0.0,9.6
Countries,16,Countries!A16:E16,Netherlands,0.0,14.0,0.0,17.5
Countries,17,Countries!A17:E17,Italy,0.0,11.0,0.0,7.73
Countries,18,Countries!A18:E18,Canada,0.0,11.0,0.0,7.91
Countries,19,Countries!A19:E19,Qatar,0.0,11.0,0.0,8.64
Countries,20,Countries!A20:E20,Poland,0.0,11.0,0.0,14.64
Countries,21,Countries!A21:E21,Egypt,0.0,10.0,0.0,7.9
Countries,22,Countries!A22:E22,Spain,0.0,9.0,0.0,10.22
Countries,23,Countries!A23:E23,Japan,0.0,8.0,0.0,4.12
Countries,24,Countries!A24:E24,Indonesia,0.0,8.0,0.0,12.38
Countries,25,Countries!A25:E25,Australia,0.0,8.0,0.0,23.62
Countries,26,Countries!A26:E26,Thailand,0.0,7.0,0.0,6.57
Countries,27,Countries!A27:E27,Malaysia,0.0,6.0,0.0,5.67
Countries,28,Countries!A28:E28,France,0.0,6.0,0.0,17.0
Countries,29,Countries!A29:E29,Philippines,0.0,5.0,0.0,5.4
Countries,30,Countries!A30:E30,Hong Kong,0.0,5.0,0.0,6.4
Countries,31,Countries!A31:E31,Algeria,0.0,5.0,0.0,7.0
Countries,32,Countries!A32:E32,Iran,0.0,5.0,0.0,7.4
Countries,33,Countries!A33:E33,Jordan,0.0,5.0,0.0,8.0
Countries,34,Countries!A34:E34,Russia,0.0,5.0,0.0,18.6
Countries,35,Countries!A35:E35,Georgia,0.0,5.0,0.0,26.6
Countries,36,Countries!A36:E36,South Africa,0.0,4.0,0.0,3.0
Countries,37,Countries!A37:E37,Armenia,0.0,4.0,0.0,4.75
Countries,38,Countries!A38:E38,Czechia,0.0,4.0,0.0,7.25
Countries,39,Countries!A39:E39,Switzerland,0.0,4.0,0.0,9.0
Countries,40,Countries!A40:E40,Ireland,0.0,4.0,0.0,9.5
Countries,41,Countries!A41:E41,Sweden,0.0,4.0,0.0,10.25
Countries,42,Countries!A42:E42,South Korea,0.0,3.0,0.0,5.67
Countries,43,Countries!A43:E43,Israel,0.0,3.0,0.0,6.67
Countries,44,Countries!A44:E44,Dominican Republic,0.0,3.0,0.0,7.0
Countries,45,Countries!A45:E45,Cambodia,0.0,3.0,0.0,7.0
Countries,46,Countries!A46:E46,South Sudan,0.0,3.0,0.0,11.0
Countries,47,Countries!A47:E47,Bahrain,0.0,3.0,0.0,12.33
Countries,48,Countries!A48:E48,Latvia,0.0,2.0,0.0,5.5
Countries,49,Countries!A49:E49,Austria,0.0,2.0,0.0,6.0
Countries,50,Countries!A50:E50,Hungary,0.0,2.0,0.0,6.5
Countries,51,Countries!A51:E51,Argentina,0.0,2.0,0.0,7.0
Countries,52,Countries!A52:E52,Ethiopia,0.0,2.0,0.0,7.0
Countries,53,Countries!A53:E53,Syria,0.0,2.0,0.0,7.5
Countries,54,Countries!A54:E54,Portugal,0.0,2.0,0.0,9.0
Countries,55,Countries!A55:E55,Norway,0.0,2.0,0.0,10.0
Countries,56,Countries!A56:E56,Papua New Guinea,0.0,2.0,0.0,10.0
Countries,57,Countries!A57:E57,Tunisia,0.0,2.0,0.0,12.0
Countries,58,Countries!A58:E58,Belgium,0.0,2.0,0.0,16.0
Countries,59,Countries!A59:E59,Kuwait,0.0,2.0,0.0,19.0
Countries,60,Countries!A60:E60,Sri Lanka,0.0,2.0,0.0,22.0
Countries,61,Countries!A61:E61,Kenya,0.0,2.0,0.0,24.5
Countries,62,Countries!A62:E62,Congo - Kinshasa,0.0,1.0,0.0,1.0
Countries,63,Countries!A63:E63,Myanmar (Burma),0.0,1.0,0.0,1.0
Countries,64,Countries!A64:E64,Rwanda,0.0,1.0,0.0,1.0
Countries,65,Countries!A65:E65,Zambia,0.0,1.0,0.0,1.0
Countries,66,Countries!A66:E66,Chile,0.0,1.0,0.0,3.0
Countries,67,Countries!A67:E67,Estonia,0.0,1.0,0.0,3.0
Countries,68,Countries!A68:E68,Ghana,0.0,1.0,0.0,4.0
Countries,69,Countries!A69:E69,Colombia,0.0,1.0,0.0,5.0
Countries,70,Countries!A70:E70,Afghanistan,0.0,1.0,0.0,7.0
Countries,71,Countries!A71:E71,Nigeria,0.0,1.0,0.0,7.0
Countries,72,Countries!A72:E72,Romania,0.0,1.0,0.0,7.0
Countries,73,Countries!A73:E73,Turkey,0.0,1.0,0.0,7.0
Countries,74,Countries!A74:E74,Kazakhstan,0.0,1.0,0.0,8.0
Countries,75,Countries!A75:E75,Kosovo,0.0,1.0,0.0,8.0
Countries,76,Countries!A76:E76,Peru,0.0,1.0,0.0,9.0
Countries,77,Countries!A77:E77,Burkina Faso,0.0,1.0,0.0,10.0
Countries,78,Countries!A78:E78,Denmark,0.0,1.0,0.0,10.0
Countries,79,Countries!A79:E79,Guatemala,0.0,1.0,0.0,10.0
Countries,80,Countries!A80:E80,Lithuania,0.0,1.0,0.0,10.0
Countries,81,Countries!A81:E81,Puerto Rico,0.0,1.0,0.0,10.0
Countries,82,Countries!A82:E82,Paraguay,0.0,1.0,0.0,10.0
Countries,83,Countries!A83:E83,Senegal,0.0,1.0,0.0,10.0
Countries,84,Countries!A84:E84,Venezuela,0.0,1.0,0.0,10.0
Countries,85,Countries!A85:E85,Vietnam,0.0,1.0,0.0,12.0
Countries,86,Countries!A86:E86,Bermuda,0.0,1.0,0.0,15.0
Countries,87,Countries!A87:E87,Ukraine,0.0,1.0,0.0,28.0
Countries,88,Countries!A88:E88,Belarus,0.0,1.0,0.0,29.0
Countries,89,Countries!A89:E89,Lebanon,0.0,1.0,0.0,29.0
Countries,90,Countries!A90:E90,New Zealand,0.0,1.0,0.0,30.0
